1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,20,0,0,0,0,0,0,0,0,0,0,15,0,0,14,15,0,0,0,1
1,2,2,2,2,2,2,10,10,10,10,10,2,2,2,2,2,0,0,0,1
1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,0,0,15,14,0,0,15,0,0,0,0,0,0,0,0,0,2,1,1
1,0,0,0,2,2,2,2,2,10,10,10,10,10,2,2,2,2,1,1,1
1,0,0,0,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21,1
1,1,1,2,2,2,2,2,12,2,2,12,2,2,12,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
